#separator:tab
#html:true
#notetype:Kotlin
#deck:Kotlin
#guid column:1
#tags column:4
#columns:GUID	Front	Back	Tags
n2-01	Kotlin'in 4 işaretli (signed) integer tipi hangileri, kaçar bit?	Küçükten büyüğe (bit boyutu <b>ikişer katlanır</b>):<br>• <b>Byte</b> — 8 bit<br>• <b>Short</b> — 16 bit<br>• <b>Int</b> — 32 bit (tam sayı literal'lerinde varsayılan)<br>• <b>Long</b> — 64 bit<br><br>Aralık: bir n-bit signed tip için −2^(n−1) … 2^(n−1)−1'dir (0 dahil olduğundan üst sınırda −1).<br><br><small>— notes-2 · 2.1</small>	kotlin::src::notes-2 kotlin::topic::types kotlin::kind::concept
n2-02	Float ile Double arasındaki fark nedir; hangisi varsayılan?	• <b>Float</b> — 32 bit, ~6-7 anlamlı basamak.<br>• <b>Double</b> — 64 bit, ~14-16 anlamlı basamak.<br><br>Ondalıklı literal'ler <b>varsayılan olarak Double</b>'dır; pratikte de Double daha yaygındır.<br><br><small>— notes-2 · 2.2</small>	kotlin::src::notes-2 kotlin::topic::types kotlin::kind::compare
n2-03	<pre>val fraction: Float = 1.51</pre>Tipi Float yazdık. Bu satır derlenir mi?	Hayır. Ondalıklı literal <b>varsayılan olarak Double</b>'dır; tipi Float yazsan bile değere <b>f</b> (veya F) eklemezsen type mismatch olur.<br><br><pre>val fraction: Float = 1.51f  // artık geçerli</pre><small>— notes-2 · 2.2</small>	kotlin::src::notes-2 kotlin::topic::types kotlin::kind::gotcha
n2-04	Char ve Boolean tiplerinin boyutları nedir?	• <b>Char</b> — 16 bit (Short ile aynı); UTF-16 kod birimi tutar, tek tırnakla yazılır: <code>'a'</code>.<br>• <b>Boolean</b> — yalnızca 1 bitlik bilgi (true/false), ama bellekteki boyutu kesin tanımlı değildir.<br><br><small>— notes-2 · 2.3</small>	kotlin::src::notes-2 kotlin::topic::types kotlin::kind::concept
n2-05	Bir fonksiyon anlamlı bir değer döndürmediğinde Kotlin'de ne döner? (İngilizce terim)	"<b>Unit</b> — pratikte 'sonuç yok' (no result) demektir; Java'daki <code>void</code> gibi. <code>println</code> bile Unit döndürür.<br><br><pre>val result = println(""text"")
println(result)  // kotlin.Unit</pre><small>— notes-2 · 2.6</small>"	kotlin::src::notes-2 kotlin::topic::functions kotlin::kind::term
n2-06	Scanner'da next(), nextLine() ve nextInt() ne okur? İş bitince ne yapılmalı?	• <b>nextLine()</b> — tüm satırı okur.<br>• <b>next()</b> — sıradaki tek kelimeyi (string) okur.<br>• <b>nextInt()</b> — sıradaki tek tam sayıyı okur.<br><br>İş bitince <code>scanner.close()</code> ile kapat (kaynak tüketmesin). İhtiyaç yoksa Scanner yerine <code>readln()</code> tercih et.<br><br><small>— notes-2 · 2.7</small>	kotlin::src::notes-2 kotlin::topic::io kotlin::kind::compare
n2-07	Bir string'i birden çok kez tekrarlamak için (döngü kurmadan) Kotlin'de ne kullanılır?	"<code>repeat(n)</code> fonksiyonu. (Python'daki <code>""9"" * 4</code> Kotlin'de yoktur.)<br><br><pre>print(""Hello"".repeat(3))  // HelloHelloHello</pre><small>— notes-2 · 2.10</small>"	kotlin::src::notes-2 kotlin::topic::strings kotlin::kind::concept
n2-08	Çok satırlı / özel karakterli metni kaçış (escape) yapmadan yazmak için ne kullanılır; girintiyi ne temizler?	"Üç tırnak <b>&quot;&quot;&quot;...&quot;&quot;&quot;</b> ile <b>ham string (raw string)</b> yazılır — içinde kaçış gerekmez.<br><br><code>trimIndent()</code> ortak minimum girintiyi ve baştaki/sondaki boş satırları temizler.<br><br><pre>val s = &quot;&quot;&quot;
    Merhaba
    Kotlin
&quot;&quot;&quot;.trimIndent()</pre><small>— notes-2 · 2.11</small>"	kotlin::src::notes-2 kotlin::topic::strings kotlin::kind::concept
n2-09	"<pre>var a: Int
a += 5</pre>Bu kod derlenir mi?"	Hayır — <b>Variable 'a' must be initialized</b>. <code>+=</code> mevcut değeri okuyup üzerine ekler (<code>a += 5</code> ≡ <code>a = a + 5</code>); ama <code>a</code> henüz başlatılmadığı için okunacak değer yok.<br><br>Compound assignment yeni değişken tanımlayamaz; zaten tanımlı ve başlatılmış bir değişkende çalışır.<br><br><small>— notes-2 · 2.15</small>	kotlin::src::notes-2 kotlin::topic::operators kotlin::kind::gotcha
n2-10	Prefix (++a) ile postfix (a++) increment arasındaki fark nedir?	• <b>Prefix (++a):</b> önce değeri artırır, <b>sonra</b> kullanır → artmış değeri döndürür.<br>• <b>Postfix (a++):</b> önce <b>mevcut</b> değeri kullanır, <b>sonra</b> artırır → eski değeri döndürür.<br><br>Kısaca: prefix = önce değiş sonra kullan; postfix = önce kullan sonra değiş.<br><br><small>— notes-2 · 2.16 / 2.17</small>	kotlin::src::notes-2 kotlin::topic::operators kotlin::kind::compare
